                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                   1.89,                 1.4236,                 1.6138,                0.47764,                0.39201,                0.40261,                0.20121,                 1.8845,                 1.5877,                 1.6565,               0.005248,               0.005248,               0.005248
                     50,                 1.8505,                 1.3644,                 1.5654,                0.60124,                0.39818,                0.44291,                0.23393,                 1.7397,                 1.4072,                 1.5736,               0.005149,               0.005149,               0.005149
                     51,                 1.8524,                 1.3325,                 1.5708,                0.57255,                0.41284,                0.44157,                0.22992,                 1.7659,                 1.4203,                 1.5621,                0.00505,                0.00505,                0.00505
                     52,                 1.8705,                  1.365,                 1.5728,                0.63455,                0.39427,                0.45395,                 0.2392,                 1.7489,                 1.3869,                 1.5676,               0.004951,               0.004951,               0.004951
                     53,                 1.8792,                 1.3777,                 1.5716,                0.57845,                0.37841,                0.42061,                0.20396,                 1.9354,                 1.4651,                 1.6139,               0.004852,               0.004852,               0.004852
                     54,                 1.8156,                 1.3435,                 1.5141,                0.59468,                0.42361,                0.46396,                0.24999,                 1.7165,                 1.5258,                 1.5343,               0.004753,               0.004753,               0.004753
                     55,                 1.7923,                 1.3426,                 1.5716,                0.60079,                0.43381,                0.48712,                 0.2577,                  1.703,                 1.5235,                 1.5005,               0.004654,               0.004654,               0.004654
                     56,                 1.8482,                 1.3702,                 1.5855,                0.53677,                0.39017,                0.41792,                0.21946,                 1.7406,                 1.4663,                 1.5357,               0.004555,               0.004555,               0.004555
                     57,                 1.7686,                 1.3251,                 1.5244,                0.57912,                0.44494,                0.47189,                0.24927,                 1.7563,                 1.3339,                 1.5464,               0.004456,               0.004456,               0.004456
                     58,                  1.823,                 1.3222,                 1.5386,                0.57304,                0.41977,                0.45184,                0.24252,                 1.7353,                 1.3662,                 1.5059,               0.004357,               0.004357,               0.004357
                     59,                 1.8222,                  1.303,                 1.5072,                0.59995,                0.44238,                0.49926,                0.26557,                 1.7747,                 1.3122,                  1.536,               0.004258,               0.004258,               0.004258
                     60,                 1.7753,                 1.2623,                 1.4877,                0.64426,                0.41165,                0.48888,                0.24761,                   1.81,                 1.4091,                 1.5429,               0.004159,               0.004159,               0.004159
                     61,                 1.8334,                 1.2947,                 1.5657,                0.56636,                0.37631,                  0.419,                0.20069,                 1.9921,                 1.6405,                 1.6031,                0.00406,                0.00406,                0.00406
                     62,                 1.8568,                 1.3151,                 1.5653,                0.58471,                0.43477,                0.48794,                0.26616,                 1.6633,                  1.411,                 1.4925,               0.003961,               0.003961,               0.003961
                     63,                 1.8199,                 1.3073,                 1.5291,                0.58291,                 0.4876,                0.50769,                0.26057,                 1.6978,                 1.3089,                 1.5161,               0.003862,               0.003862,               0.003862
                     64,                 1.8423,                 1.3111,                 1.5411,                0.65704,                0.43096,                0.51945,                0.27323,                 1.6892,                 1.3363,                 1.5064,               0.003763,               0.003763,               0.003763
                     65,                  1.776,                 1.3145,                 1.5022,                0.61909,                0.43949,                0.50946,                0.26754,                 1.6889,                 1.3741,                 1.4942,               0.003664,               0.003664,               0.003664
                     66,                 1.7731,                 1.3132,                 1.5052,                0.63024,                0.46698,                0.51906,                0.28237,                 1.6118,                  1.289,                 1.4684,               0.003565,               0.003565,               0.003565
                     67,                 1.7279,                 1.2919,                 1.5267,                0.62222,                 0.4463,                0.51372,                0.28236,                  1.679,                 1.2905,                 1.4753,               0.003466,               0.003466,               0.003466
                     68,                 1.7931,                 1.2786,                 1.5302,                0.65702,                0.44218,                0.52573,                0.28176,                 1.7251,                 1.2976,                 1.4852,               0.003367,               0.003367,               0.003367
                     69,                 1.7752,                 1.2887,                 1.5603,                0.63103,                0.44244,                0.51406,                0.29002,                 1.6365,                 1.2828,                 1.4795,               0.003268,               0.003268,               0.003268
                     70,                 1.7996,                 1.2826,                 1.5352,                0.60157,                0.44045,                0.48616,                0.26302,                 1.6782,                 1.4124,                 1.4796,               0.003169,               0.003169,               0.003169
                     71,                 1.6895,                 1.2568,                 1.4932,                0.59333,                0.39543,                0.44011,                0.22329,                 1.7588,                 1.5276,                 1.5548,                0.00307,                0.00307,                0.00307
                     72,                 1.8139,                 1.3223,                 1.5525,                0.65717,                0.41362,                0.50224,                0.27019,                 1.6618,                 1.3315,                 1.4816,               0.002971,               0.002971,               0.002971
                     73,                 1.7276,                 1.2265,                 1.4844,                0.59727,                 0.4006,                0.43971,                0.22685,                 1.8797,                 1.5116,                 1.5728,               0.002872,               0.002872,               0.002872
                     74,                 1.6967,                 1.2775,                   1.54,                0.61837,                0.40421,                0.44395,                0.22377,                 1.8253,                 1.4699,                 1.5447,               0.002773,               0.002773,               0.002773
                     75,                 1.6714,                  1.226,                 1.4754,                 0.5843,                0.40092,                0.44648,                0.22401,                 1.8717,                 1.4056,                 1.5422,               0.002674,               0.002674,               0.002674
                     76,                 1.7799,                 1.2503,                 1.4916,                0.60458,                0.48067,                0.52483,                0.27903,                 1.6554,                 1.2854,                 1.4782,               0.002575,               0.002575,               0.002575
                     77,                 1.7619,                 1.2366,                 1.5131,                0.61854,                0.47675,                0.52495,                0.28153,                 1.6267,                 1.2972,                 1.4989,               0.002476,               0.002476,               0.002476
                     78,                 1.7306,                 1.2414,                 1.4934,                0.62822,                0.47051,                0.52757,                0.29988,                 1.6433,                 1.2898,                 1.4555,               0.002377,               0.002377,               0.002377
                     79,                 1.7318,                 1.2407,                 1.5232,                0.66205,                  0.474,                0.54889,                0.31484,                  1.571,                 1.2026,                 1.4282,               0.002278,               0.002278,               0.002278
                     80,                 1.6846,                 1.2027,                 1.4649,                 0.6697,                0.48392,                 0.5558,                0.31039,                 1.5872,                 1.1808,                 1.4504,               0.002179,               0.002179,               0.002179
                     81,                 1.7535,                 1.2679,                  1.512,                  0.694,                0.48323,                0.56226,                0.30681,                 1.6514,                  1.181,                 1.4459,                0.00208,                0.00208,                0.00208
                     82,                 1.7516,                 1.2568,                 1.5325,                0.62594,                0.47035,                0.52306,                0.28609,                 1.6171,                 1.2744,                 1.4654,               0.001981,               0.001981,               0.001981
                     83,                 1.7749,                 1.2492,                 1.5103,                0.69684,                0.44163,                0.52159,                0.28711,                 1.6264,                 1.2838,                 1.4563,               0.001882,               0.001882,               0.001882
                     84,                 1.6906,                 1.1774,                 1.4822,                0.67033,                0.45464,                0.53589,                0.29915,                 1.6032,                 1.2443,                 1.4224,               0.001783,               0.001783,               0.001783
                     85,                 1.7027,                 1.2109,                 1.4584,                0.64628,                0.46927,                0.53732,                0.30629,                 1.5522,                 1.2009,                  1.409,               0.001684,               0.001684,               0.001684
                     86,                 1.7294,                 1.2158,                  1.488,                0.66907,                0.48659,                0.54765,                0.30664,                 1.5692,                 1.1808,                 1.4309,               0.001585,               0.001585,               0.001585
                     87,                 1.6551,                 1.1521,                 1.4422,                0.69093,                0.45778,                0.54208,                  0.298,                 1.5921,                 1.2239,                  1.426,               0.001486,               0.001486,               0.001486
                     88,                 1.6813,                 1.1943,                 1.4567,                0.67813,                 0.4721,                0.55589,                0.31008,                 1.5791,                 1.2069,                 1.4299,               0.001387,               0.001387,               0.001387
                     89,                 1.6791,                 1.1725,                 1.4911,                0.67362,                0.49044,                0.56975,                0.32119,                 1.5446,                 1.1481,                  1.415,               0.001288,               0.001288,               0.001288
                     90,                 1.6517,                 1.1568,                 1.4542,                0.69349,                0.49943,                0.57134,                 0.3172,                  1.559,                 1.1368,                 1.4142,               0.001189,               0.001189,               0.001189
                     91,                 1.6039,                 1.3302,                 1.4995,                0.67982,                0.48835,                0.55863,                0.30009,                 1.6111,                 1.1657,                  1.458,                0.00109,                0.00109,                0.00109
                     92,                 1.5774,                 1.2265,                 1.4342,                0.69614,                0.48812,                0.57013,                0.30425,                 1.6205,                 1.2177,                 1.4593,               0.000991,               0.000991,               0.000991
                     93,                 1.5823,                 1.2068,                 1.4724,                 0.7182,                0.46573,                0.56985,                 0.3259,                  1.555,                  1.211,                 1.4021,               0.000892,               0.000892,               0.000892
                     94,                 1.5282,                 1.1535,                 1.4551,                0.72353,                0.49783,                0.58831,                0.33963,                 1.5027,                 1.1365,                 1.3797,               0.000793,               0.000793,               0.000793
                     95,                 1.5216,                 1.1564,                 1.4661,                0.73997,                0.50817,                0.59707,                0.33239,                 1.5062,                 1.1228,                 1.3909,               0.000694,               0.000694,               0.000694
                     96,                 1.5394,                 1.1528,                 1.4838,                0.70548,                0.51819,                0.59832,                0.33664,                 1.5014,                 1.1327,                 1.3807,               0.000595,               0.000595,               0.000595
                     97,                 1.4779,                 1.1565,                 1.4149,                0.73478,                0.49758,                0.60368,                0.34436,                 1.5028,                 1.1363,                  1.372,               0.000496,               0.000496,               0.000496
                     98,                 1.5111,                   1.15,                 1.4062,                0.71542,                0.50335,                0.60048,                0.34643,                 1.5049,                 1.1241,                 1.3668,               0.000397,               0.000397,               0.000397
                     99,                 1.4853,                 1.1336,                  1.462,                0.70503,                   0.51,                  0.603,                0.34947,                 1.5056,                 1.1112,                 1.3643,               0.000298,               0.000298,               0.000298
                    100,                 1.4706,                 1.1166,                 1.3976,                0.74073,                0.51073,                0.60609,                0.35277,                 1.4999,                 1.0985,                 1.3619,               0.000199,               0.000199,               0.000199
